ID,Category,Topic,Description
1,Knowledge Area,"Ethics, Responsibility and Sustainability","Acting responsibly and ethically in business, covering social, cultural, legal, economic, and environmental considerations."
2,Knowledge Area,Markets and Economies,"How markets for goods, services, and resources develop and function, including market failure, externalities, and fair trade."
3,Knowledge Area,"Marketing, Sales, Negotiation and Customers","Managing customer relationships and consumer behaviour; segmentation, targeting, and positioning; generating sales; product and service innovation."
4,Knowledge Area,Finance and Accounting,"Sources and management of business finance; use of accounting and information systems for planning, control, decision-making, and financial risk management."
5,Knowledge Area,People and Organisational Behaviour,"Responsible and inclusive leadership; management and development of people and organisations; employee engagement; organisational design; cross-cultural issues; equality, diversity and inclusion."
6,Knowledge Area,Operations and Business Innovation,"Managing resources, supply chains, procurement, logistics, and outsourcing; quality systems, service excellence, and project management."
7,Knowledge Area,"Data Analytics, Digital Business and Information Systems","Using data, statistics, and information systems to support strategic decisions; digital business and business intelligence; data-driven decision-making."
8,Knowledge Area,Business Policy and Strategy,Developing strategy and policy to meet stakeholder interests; risk and crisis management; business continuity planning; strategic communication.
9,Knowledge Area,Public and Non-Profit Management,"Governance, financial management, leadership, and ethics in public-sector, voluntary, and community organisations, including hybrid delivery models."
10,Knowledge Area,Entrepreneurship and Enterprise Development,"Developing and launching new business ideas, products, services, or ventures; identifying and valuing intellectual property; generating financial or social return."
11,Subject-Specific Skill,People Management,"Communication, team building, resilience and wellbeing, leadership, motivating others, and fostering equality, diversity and inclusion."
12,Subject-Specific Skill,Problem-Solving and Critical Analysis,"Analysing facts and circumstances to identify causes of problems, and selecting sound, sustainable solutions."
13,Subject-Specific Skill,Research,"Analysing and evaluating data and information sources with strong digital literacy to support ethical, evidence-based decisions."
14,Subject-Specific Skill,Commercial Acumen,"Understanding what drives business success and failure, and how to build customer satisfaction and loyalty sustainably."
15,Subject-Specific Skill,"Innovation, Creativity and Enterprise","Generating, developing, and communicating ideas entrepreneurially; managing intellectual property; delivering sustainable outcomes."
16,Subject-Specific Skill,Numeracy,"Using quantitative methods to manipulate data and model business problems, functions, and phenomena."
17,Subject-Specific Skill,Networking,"Listening, negotiating, persuasion, and presentation skills used to build and sustain business relationships."
18,Subject-Specific Skill,Leadership,"Working across boundaries and organisations, influencing others, and collaborating in partnerships."
19,Generic Skill,Collaboration with Stakeholders,Working effectively and inclusively with internal and external stakeholders.
20,Generic Skill,"Communication (Verbal, Non-verbal, Digital)",Communicating clearly and appropriately across different formats and channels.
21,Generic Skill,Empathy and Inclusivity,Recognising and valuing the perspectives and needs of others.
22,Generic Skill,Digital Literacy,Using digital tools and platforms effectively and appropriately in a business context.
23,Generic Skill,Critical and Systemic Thinking,"Analysing, synthesising, and evaluating information and systems critically."
24,Generic Skill,Self-Management,"Working independently, taking responsibility, tolerating uncertainty, and using evidence to inform judgement."
25,Generic Skill,Self-Reflection,Reflecting on one's own practice and remaining open to ongoing development.
